time,likes,comments,reactions,reaction_count,image,video,link,text,shares,post_url,topic,processed_text,engagement
2023-11-30 21:15:00,383,6,"{'like': 383, 'love': 11, 'care': 2, 'haha':1, 'wow': 0,'sad':0,'angry':0}",397,,,https://www.nationalgeographic.com/history/article/periods-menstruation-women-history-ancient-egypt?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231130hist-periodproducts&linkId=251822244&fbclid=IwAR3thGOEHeSbIAIgtwz4uCu5fKLx6KFSY4TGvJWi8dGRaaq7e6fZXziwH5Q,How we've dealt with periods over millennia says a lot about our societies-and the persistent stigma surrounding menstruation. ~ NATIONALGEOGRAPHIC.COM Egyptions used papyrus-and other ways of handling periods through the years,15,https://facebook.com/natgeo/posts/897234058440692,History & Culture,dealt period millennia say lot persist stigma surround menstruat egypt use way handl period year,418
2023-11-30 18:15:00,675,20,"{'like': 675, 'love': 46, 'care': 4, 'haha':2, 'wow': 3,'sad':0,'angry':0}",730,,,https://www.nationalgeographic.com/environment/article/wild-river-national-park-vjosa-albania?cmpid=org=ngp::mc=social::src=facebook::cmp=editorial::add=fb20231130env-resurfvjosaalbania&linkId=251824802&fbclid=IwAR3thGOEHeSbIAIgtwz4uCu5fKLx6KFSY4TGvJWi8dGRaaq7e6fZXziwH5Q,What will it take the save the world's rivers? Experts say we need only look to the Vjosa River in Albania for a model of conservation. ~ NATIONALGEOGRAPHIC.COM How Vjosa Wild River National Park was created-and sparked a movement,35,https://facebook.com/natgeo/posts/897234058440692,Environment,take save world river expert say need look vjosa river albania model conserv vjosa wild river nation park spark movement,785
2023-11-30 12:15:00,710,12,"{'like': 710, 'love': 41, 'care': 0, 'haha':2, 'wow': 1,'sad':0,'angry':0}",754,,,https://www.nationalgeographic.com/travel/article/best-north-american-ski-resorts?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231130travel-northamericanskiing&linkId=251824753&fbclid=IwAR2SzAeGUCR45ei7_TXD7FBgfhlzs44BkTvDhEn0BizrwJKEzQ7EhICghgA,"North America is becoming a more popular winter sports destination as resorts link areas, expand lift networks and unveil enticing new activities. ~ NATIONALGEOGRAPHIC.COM Where to go for a NORTH American ski adventure",15,https://facebook.com/natgeo/posts/897234058440692,Travel,north america becom popular winter sport destin resort link area expand lift network unveil entic new activ go north american ski adventur,781
2023-11-30 09:15:00,501,22,"{'like': 501, 'love': 46, 'care': 5, 'haha':1, 'wow': 1,'sad':0,'angry':0}",554,,,https://www.nationalgeographic.com/premium/article/mobility-walking-health-exercise-technique?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231129science-mobility&linkId=251795297&fbclid=IwAR1MkHzyM3lHRZb9iRdzGX08ZPIEqhSeD6gCSr6ckmL8nbHt1xCkXpwHZ2o,Experts have one key piece of advice for our aging bodies: Don't stop moving. ~ NATIONALGEOGRAPHIC.COM Walking is the sixth vital sign. Here's how to do it right.,68,https://facebook.com/natgeo/posts/897234058440692,Science,expert one key piec advic age bodi stop move walk sixth vital sign right,644
2023-11-30 06:15:00,6800,357,"{'like': 6800, 'love': 2100, 'care': 107, 'haha':197, 'wow': 133,'sad':2,'angry':1}",9400,,https://scontent.fhan14-2.fna.fbcdn.net/v/t42.1790-2/405274195_314640558181314_8816362127736519239_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=55d0d3&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=m4lrTHTeKtUAX_MkT3Y&_nc_rml=0&_nc_ht=scontent.fhan14-2.fna&oh=00_ ,,A traffic cam along I-94 in Minnesota captured this very fine footage of a hawk staring deeply into the lens. The bird was identified as a red-tailed hawk by the Minnesota Department of Natural Resources.,1000,https://facebook.com/natgeo/posts/897234058440692,Animals,traffic cam along minnesota captur fine footag hawk stare deepli len bird identifi hawk minnesota depart natur resourc,10757
2023-11-30 04:15:00,564,13,"{'like': 564, 'love': 36, 'care': 10, 'haha':0, 'wow': 7,'sad':1,'angry':0}",618,,,https://www.nationalgeographic.com/animals/article/woolly-bear-caterpillar-winter-weather?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231129animals-woollybearcaterpillar&linkId=251795152&fbclid=IwAR130tXwRgODe1i6w9N4Rvpzp4IQ-RpGabq4lIInnVG2aQP7yV5_IWmEx4U,"Can the black hairs of this woolly bear caterpillar really tell us how mild or severe winter will be? The folklore has been passed down for centuries, but experts say it's unlikely. ~ NATIONALGEOGRAPHIC.COM Are these fuzzy caterpillars really winter weather oracles?",15,https://facebook.com/natgeo/posts/897234058440692,Animals,black hair woolli bear caterpillar realli tell us mild sever winter folklor pass centuri expert say unlik fuzzi caterpillar realli winter weather oracl,646
2023-11-30 02:33:00,1300,35,"{'like': 1300, 'love': 40, 'care': 9, 'haha':3, 'wow': 233,'sad':0,'angry':0}",1600,,,https://www.nationalgeographic.com/premium/article/buffalofish-oldest-hundred-years-mystery?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231128animals-buffalofish&linkId=251792551&fbclid=IwAR3thGOEHeSbIAIgtwz4uCu5fKLx6KFSY4TGvJWi8dGRaaq7e6fZXziwH5Q,"Buffalofish live their best lives into their upper 80s and 90s, with better stress response and immune function than younger individuals. What can humans learn from them? ~ NATIONALGEOGRAPHIC.COM These fish live up to 100-and get healthier as they age",94,https://facebook.com/natgeo/posts/897234058440692,Animals,buffalofish live best live upper better stress respons immun function younger individu human learn fish live get healthier age,1729
2023-11-30 00:22:00,5400,120,"{'like': 5400, 'love': 1200, 'care': 44, 'haha':1, 'wow': 145,'sad':2,'angry':0}",6800,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/404671332_896385718525526_7445082065366036712_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=dJEWXCnhX5oAX-UcHMJ&tn=zl8CM8dkYkrsNiwA&_nc_ht=scontent.,,,Happy International Jaguar Day! A jaguar leaps into a river in pursuit of a caiman in Brazil's Pantanal in this image from our archives.,578,https://facebook.com/natgeo/posts/897234058440692,Environment,happi intern jaguar day jaguar leap river pursuit caiman brazil pantan imag archiv,7498
2023-11-29 21:15:00,634,12,"{'like': 634, 'love': 21, 'care': 8, 'haha':0, 'wow': 3,'sad':0,'angry':0}",666,,,https://www.nationalgeographic.com/travel/article/photo-story-chasing-the-northern-lights-in-churchill-canada?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231129travel-churchillnorthernlights&linkId=251559832&fbclid=IwAR2SzAeGUCR45ei7_TXD7FBgfhlzs44BkTvDhEn0BizrwJKEzQ7EhICghgA,"In Canada's frigid north, Churchill is home to only 900 residents but draws scientists and adventure travelers from around the globe. ~ NATIONALGEOGRAPHIC.COm Chasing the Northern Lights in Canada's polar bear capital. In Canada's firgid north, Churchill is home to only 900 residents.",18,https://facebook.com/natgeo/posts/897234058440692,Travel,canada frigid north churchil home resid draw scientist adventur travel around globe chase northern light canada polar bear capit canada firgid north churchil home resid,696
2023-11-29 18:15:00,610,20,"{'like': 610, 'love': 50, 'care': 2, 'haha':1, 'wow': 2,'sad':0,'angry':0}",665,,,https://www.nationalgeographic.com/history/article/the-fascinating-history-behind-the-popular-waving-lucky-cat?cmpid=org=nap::mc=social::src=facebook::cmp=editorial::add=fb20231129hist-resurfmanekineko&linkId=251558699&fbclid=IwAR1OqsxQp4_iT5USsWlgNWb4qyGUo1AEPmvXdWT-edyayZsQ_iHKXHU8A4o,"With a raised paw, pointy red ears, and other accessories, maneki-neko have been bringing in luck and prosperity for centuries. And while the iconic statutes have varied origin stories, they all begin in Japan. ~ NATIONALGEOGRAPHIC.COM The fascinating history behind the popular 'waving lucky cat'",76,https://facebook.com/natgeo/posts/897234058440692,History & Culture,rais paw pointi red ear accessori bring luck prosper centuri icon statut vari origin stori begin japan fascin histori behind popular lucki cat,761
